Building_Code,Date,Gas_Consumption,Month,Year,Season
G601,2024-04-01,692.0,4,2024,Autumn
G608,2024-04-01,3369.0,4,2024,Autumn
G60X,2024-04-01,0.0,4,2024,Autumn
F204,2024-05-01,5156.0,5,2024,Autumn
F402,2024-05-01,7793.0,5,2024,Autumn
F405,2024-05-01,10463.0,5,2024,Autumn
F512,2024-05-01,12368.0,5,2024,Autumn
F516/17,2024-05-01,2419.0,5,2024,Autumn
F603,2024-05-01,1897.48,5,2024,Autumn
F620 Psychology 2,2024-05-01,1698.19,5,2024,Autumn
F62X,2024-05-01,1442.0,5,2024,Autumn
F916,2024-05-01,104506.0,5,2024,Autumn
F940,2024-05-01,26758.38,5,2024,Autumn
G403 Biochemistry Gas meter,2024-05-01,70.72,5,2024,Autumn
G404 Microbiology Gas meter,2024-05-01,17341.935,5,2024,Autumn
G412,2024-05-01,7595.05,5,2024,Autumn
G501 Staff Club Gas meter,2024-05-01,1393.23,5,2024,Autumn
G601,2024-05-01,696.0,5,2024,Autumn
G608,2024-05-01,3663.0,5,2024,Autumn
G60X,2024-05-01,0.0,5,2024,Autumn
F204,2024-06-01,6439.0,6,2024,Winter
F402,2024-06-01,11090.0,6,2024,Winter
F405,2024-06-01,24926.0,6,2024,Winter
F512,2024-06-01,19958.0,6,2024,Winter
F516/17,2024-06-01,3160.0,6,2024,Winter
F603,2024-06-01,2871.0,6,2024,Winter
F620 Psychology 2,2024-06-01,1768.94,6,2024,Winter
F62X,2024-06-01,990.0,6,2024,Winter
F916,2024-06-01,8165.0,6,2024,Winter
F940,2024-06-01,24838.81,6,2024,Winter
G403 Biochemistry Gas meter,2024-06-01,35.36,6,2024,Winter
G404 Microbiology Gas meter,2024-06-01,18620.16,6,2024,Winter
G412,2024-06-01,4404.0,6,2024,Winter
G501 Staff Club Gas meter,2024-06-01,1732.57,6,2024,Winter
G601,2024-06-01,974.0,6,2024,Winter
G608,2024-06-01,5798.0,6,2024,Winter
G60X,2024-06-01,2409.0,6,2024,Winter
F204,2024-07-01,7747.0,7,2024,Winter
F402,2024-07-01,7286.0,7,2024,Winter
F405,2024-07-01,32106.0,7,2024,Winter
F512,2024-07-01,23378.0,7,2024,Winter
F516/17,2024-07-01,3089.0,7,2024,Winter
F603,2024-07-01,3557.0,7,2024,Winter
F620 Psychology 2,2024-07-01,1238.26,7,2024,Winter
